CITIES,PROCESSES,TIME_COMP,MIN_DISTANCE,ROUTE
4,1,0.00018477439880371094,173.71569742840222,3 -> 2 -> 1
4,2,0.006021022796630859,183.65099944272862,2 -> 1 -> 3
4,3,0.007279634475708008,221.44806263990762,2 -> 1 -> 3
4,4,0.005524873733520508,175.68850672740996,2 -> 3 -> 1
4,5,0.006283283233642578,191.73341445269295,1 -> 2 -> 3
4,6,0.006613492965698242,233.05924918780664,1 -> 2 -> 3
4,7,0.015228986740112305,262.80292948587385,1 -> 3 -> 2
4,8,0.06113696098327637,213.0191854899204,1 -> 3 -> 2
4,9,0.013832330703735352,198.14750387477775,1 -> 3 -> 2
4,10,0.0007188320159912109,232.86904911258978,2 -> 1 -> 3
4,11,0.015186786651611328,225.65278200175985,1 -> 2 -> 3
4,12,0.020163536071777344,115.90307933839291,1 -> 2 -> 3
4,13,0.039276123046875,186.25814799833068,2 -> 1 -> 3
4,14,0.04861140251159668,141.35243974620315,1 -> 2 -> 3
4,15,0.06038475036621094,220.55228327445514,2 -> 1 -> 3
4,16,0.06698393821716309,149.68724849772886,1 -> 2 -> 3
8,1,0.023657560348510742,207.62104589867815,1 -> 7 -> 2 -> 3 -> 6 -> 4 -> 5
8,2,0.012913703918457031,284.9602038216193,2 -> 3 -> 6 -> 7 -> 1 -> 5 -> 4
8,3,0.00885152816772461,262.56061414734285,3 -> 4 -> 1 -> 5 -> 6 -> 2 -> 7
8,4,0.010664224624633789,289.78958465252276,3 -> 2 -> 5 -> 6 -> 4 -> 1 -> 7
8,5,0.005719184875488281,291.1948373821565,1 -> 6 -> 3 -> 5 -> 2 -> 7 -> 4
8,6,0.010334014892578125,247.83283132612377,1 -> 5 -> 4 -> 6 -> 7 -> 2 -> 3
8,7,0.004468441009521484,241.9580472547043,2 -> 1 -> 7 -> 4 -> 3 -> 5 -> 6
8,8,0.004282951354980469,245.954100910786,1 -> 2 -> 5 -> 6 -> 7 -> 4 -> 3
8,9,0.003706693649291992,271.6125419126805,2 -> 5 -> 7 -> 1 -> 3 -> 4 -> 6
8,10,0.005876302719116211,285.0015469341622,1 -> 4 -> 2 -> 7 -> 6 -> 3 -> 5
8,11,0.0036439895629882812,297.6220524281024,2 -> 1 -> 5 -> 3 -> 4 -> 7 -> 6
8,12,0.036828041076660156,237.11623442580444,3 -> 7 -> 5 -> 6 -> 2 -> 1 -> 4
8,13,0.004826545715332031,257.4633188571099,2 -> 4 -> 3 -> 5 -> 1 -> 6 -> 7
8,14,0.03687167167663574,306.8859518512905,2 -> 4 -> 5 -> 7 -> 1 -> 3 -> 6
8,15,0.03172636032104492,299.5181727387534,2 -> 3 -> 6 -> 5 -> 4 -> 1 -> 7
8,16,0.011331796646118164,274.8403056743282,4 -> 7 -> 2 -> 6 -> 3 -> 1 -> 5
10,1,2.01784348487854,307.5423915229558,4 -> 8 -> 3 -> 6 -> 7 -> 2 -> 9 -> 1 -> 5
10,2,1.143751859664917,312.85974062978715,2 -> 9 -> 5 -> 3 -> 8 -> 4 -> 6 -> 1 -> 7
10,3,0.741640567779541,343.3901856401684,1 -> 2 -> 3 -> 8 -> 9 -> 4 -> 6 -> 5 -> 7
10,4,0.5603532791137695,294.8607575602323,7 -> 4 -> 3 -> 8 -> 5 -> 2 -> 1 -> 6 -> 9
10,5,0.4571976661682129,259.551038828176,2 -> 3 -> 6 -> 9 -> 5 -> 4 -> 8 -> 1 -> 7
10,6,0.3902602195739746,326.86904761786855,5 -> 6 -> 7 -> 1 -> 8 -> 2 -> 4 -> 3 -> 9
10,7,0.3430919647216797,286.8040135695481,1 -> 4 -> 8 -> 2 -> 3 -> 7 -> 5 -> 9 -> 6
10,8,0.3168466091156006,281.12422830926454,8 -> 4 -> 5 -> 1 -> 6 -> 9 -> 2 -> 7 -> 3
10,9,0.27275609970092773,286.0215178250133,7 -> 2 -> 4 -> 9 -> 8 -> 1 -> 6 -> 5 -> 3
10,10,0.2725543975830078,250.5334429617339,1 -> 8 -> 5 -> 9 -> 7 -> 6 -> 3 -> 4 -> 2
10,11,0.25206851959228516,257.97494364294124,4 -> 6 -> 5 -> 7 -> 8 -> 3 -> 2 -> 1 -> 9
10,12,0.2889289855957031,324.85112700719003,2 -> 3 -> 5 -> 4 -> 1 -> 6 -> 7 -> 9 -> 8
10,13,0.21975231170654297,262.81788757642806,3 -> 6 -> 2 -> 7 -> 8 -> 4 -> 1 -> 5 -> 9
10,14,0.19810724258422852,236.71083397307424,1 -> 8 -> 5 -> 9 -> 2 -> 4 -> 3 -> 6 -> 7
10,15,0.19035005569458008,292.68314866677673,1 -> 4 -> 8 -> 6 -> 3 -> 9 -> 5 -> 2 -> 7
10,16,0.24055266380310059,233.37956101900136,1 -> 7 -> 5 -> 2 -> 4 -> 3 -> 9 -> 6 -> 8
